name,class,since,until
SODIUM_CRYPTO_GENERICHASH_BYTES,,7.2,
SODIUM_CRYPTO_GENERICHASH_BYTES_MIN,,7.2,
SODIUM_CRYPTO_GENERICHASH_BYTES_MAX,,7.2,
SODIUM_CRYPTO_GENERICHASH_KEYBYTES,,7.2,
SODIUM_CRYPTO_GENERICHASH_KEYBYTES_MIN,,7.2,
SODIUM_CRYPTO_GENERICHASH_KEYBYTES_MAX,,7.2,
SODIUM_CRYPTO_PWHASH_ALG_ARGON2I13,,7.2,
SODIUM_CRYPTO_PWHASH_ALG_DEFAULT,,7.2,
SODIUM_CRYPTO_PWHASH_SALTBYTES,,7.2,
SODIUM_CRYPTO_PWHASH_STRPREFIX,,7.2,
SODIUM_CRYPTO_PWHASH_OPSLIMIT_INTERACTIVE,,7.2,
SODIUM_CRYPTO_PWHASH_MEMLIMIT_INTERACTIVE,,7.2,
SODIUM_CRYPTO_PWHASH_OPSLIMIT_MODERATE,,7.2,
SODIUM_CRYPTO_PWHASH_MEMLIMIT_MODERATE,,7.2,
SODIUM_CRYPTO_PWHASH_OPSLIMIT_SENSITIVE,,7.2,
SODIUM_CRYPTO_PWHASH_MEMLIMIT_SENSITIVE,,7.2,
SODIUM_CRYPTO_PWHASH_SCRYPTSALSA208SHA256_SALTBYTES,,7.2,
SODIUM_CRYPTO_PWHASH_SCRYPTSALSA208SHA256_STRPREFIX,,7.2,
SODIUM_CRYPTO_PWHASH_SCRYPTSALSA208SHA256_OPSLIMIT_INTERACTIVE,,7.2,
SODIUM_CRYPTO_PWHASH_SCRYPTSALSA208SHA256_MEMLIMIT_INTERACTIVE,,7.2,
SODIUM_CRYPTO_PWHASH_SCRYPTSALSA208SHA256_OPSLIMIT_SENSITIVE,,7.2,
SODIUM_CRYPTO_PWHASH_SCRYPTSALSA208SHA256_MEMLIMIT_SENSITIVE,,7.2,
SODIUM_CRYPTO_SCALARMULT_BYTES,,7.2,
SODIUM_CRYPTO_SCALARMULT_SCALARBYTES,,7.2,
SODIUM_CRYPTO_SHORTHASH_BYTES,,7.2,
SODIUM_CRYPTO_SHORTHASH_KEYBYTES,,7.2,
SODIUM_CRYPTO_SECRETBOX_KEYBYTES,,7.2,
SODIUM_CRYPTO_SECRETBOX_MACBYTES,,7.2,
SODIUM_CRYPTO_SECRETBOX_NONCEBYTES,,7.2,
SODIUM_CRYPTO_SIGN_BYTES,,7.2,
SODIUM_CRYPTO_SIGN_SEEDBYTES,,7.2,
SODIUM_CRYPTO_SIGN_PUBLICKEYBYTES,,7.2,
SODIUM_CRYPTO_SIGN_SECRETKEYBYTES,,7.2,
SODIUM_CRYPTO_SIGN_KEYPAIRBYTES,,7.2,
SODIUM_CRYPTO_STREAM_NONCEBYTES,,7.2,
SODIUM_CRYPTO_STREAM_KEYBYTES,,7.2,
EM_NONE,ZipArchive,7.2,
EM_AES_128,ZipArchive,7.2,
