name,class,since,until
sodium_crypto_stream_xchacha20_xor_ic,,8.2,
memory_reset_peak_usage,,8.2,
ini_parse_quantity,,8.2,
libxml_get_external_entity_loader,,8.2,
createFromISO8601String,DatePeriod,8.3,
createFromDate,IntlGregorianCalendar,8.3,
createFromDateTime,IntlGregorianCalendar,8.3,
json_validate,,8.3,
ldap_connect_wallet,,8.3,
ldap_exop_sync,,8.3,
mb_str_pad,,8.3,
posix_sysconf,,8.3,
posix_pathconf,,8.3,
posix_fpathconf,,8.3,
posix_eaccess,,8.3,
pg_set_error_context_visibility,,8.3,
createFromMethodName,ReflectionMethod,8.3,
socket_atmark,,8.3,
str_increment,,8.3,
str_decrement,,8.3,
stream_context_set_options,,8.3,
request_parse_body,,8.4,
bcceil,,8.4,
bcdivmod,,8.4,
bcfloor,,8.4,
bcround,,8.4,
DateTime::createFromTimestamp,,8.4,
DateTimeImmutable::createFromTimestamp,,8.4,
quote,DOMXPath,8.4,
grapheme_str_split,,8.4,
mb_trim,,8.4,
mb_ltrim,,8.4,
mb_rtrim,,8.4,
mb_ucfirst,,8.4,
mb_lcfirst,,8.4,
opcache_jit_blacklist,,8.4,
pcntl_getcpu,,8.4,
pcntl_getcpuaffinity,,8.4,
pcntl_getqos_class,,8.4,
pcntl_setns,,8.4,
pcntl_waitid,,8.4,
pg_change_password,,8.4,
pg_jit,,8.4,
pg_put_copy_data,,8.4,
pg_put_copy_end,,8.4,
pg_result_memory_size,,8.4,
pg_set_chunked_rows_size,,8.4,
pg_socket_poll,,8.4,
sodium_crypto_aead_aegis128l_keygen,,8.4,
sodium_crypto_aead_aegis128l_encrypt,,8.4,
sodium_crypto_aead_aegis128l_decrypt,,8.4,
sodium_crypto_aead_aegis256_keygen,,8.4,
sodium_crypto_aead_aegis256_decrypt,,8.4,
sodium_crypto_aead_aegis256_encrypt,,8.4,
http_get_last_response_headers,,8.4,
http_clear_last_response_headers,,8.4,
fpow,,8.4,
array_all,,8.4,
array_any,,8.4,
array_find,,8.4,
array_find_key,,8.4,
fromStream,XMLReader,8.4,
fromUri,XMLReader,8.4,
fromString,XMLReader,8.4,
toStream,XMLWriter,8.4,
toUri,XMLWriter,8.4,
toMemory,XMLWriter,8.4,
get_error_handler,,8.5,
get_exception_handler,,8.5,
getCurrent,Closure,8.5,
curl_multi_get_handles,,8.5,
curl_share_init_persistent,,8.5,
enchant_dict_remove_from_session,,8.5,
enchant_dict_remove,,8.5,
isRightToLeft,Locale,8.5,
locale_is_right_to_left,,8.5,
grapheme_levenshtein,,8.5,
opcache_is_script_cached_in_file_cache,,8.5,
pg_close_stmt,,8.5,
pg_service,,8.5,
array_first,,8.5,
array_last,,8.5,
